Task_name,Input_data_size,Duration(s),maxExecutor,hibench.gmm.num_of_samples
gmm_1,2008194512,315.642,3,8000000
gmm_2,20081915026,462.671,17,100000000
gmm_3,2008194502,205.065,4,8000000
gmm_4,7028672362,213.417,16,34000000
gmm_5,8032768002,180.697,18,40000000
gmm_6,8032767946,172.8,19,40000000
gmm_7,20081914806,152.665,50,100000000
gmm_8,3012290066,314.111,3,14000000
gmm_9,20081914646,169.802,49,100000000
gmm_10,5020481196,168.08,11,23000000
gmm_11,5020481176,126.348,11,21000000
gmm_12,5020481111,189.516,10,22000000
gmm_13,5020481186,215.008,11,22000000
gmm_14,5020481146,128.197,24,25000000
gmm_15,4016385618,523.077,3,17000000
gmm_16,3012290087,263.473,3,14000000
gmm_17,5020481161,187.504,10,25000000
gmm_18,4016385638,101.46,23,18000000
gmm_19,4016385638,146.134,10,16000000
gmm_20,5020481211,166.326,11,24000000
gmm_21,4016385654,163.939,11,20000000
gmm_22,3012290012,147.445,10,13000000
gmm_23,4016385598,110.349,11,19000000
gmm_24,7028672383,148.713,24,33000000
gmm_25,4016385674,359.096,3,16000000
gmm_26,1004098944,85.966,3,5000000
gmm_27,5020481201,186.254,10,21000000
gmm_28,6024576728,114.211,23,27000000
gmm_29,3012290048,132.159,10,12000000
gmm_30,4016385630,123.278,11,16000000
gmm_31,12049149998,108.455,70,60000000
gmm_32,4016385598,109.387,23,20000000
gmm_33,7028672299,175.867,21,31000000
gmm_34,9036863489,101.103,27,41000000
gmm_35,4016385614,167.42,8,19000000
gmm_36,4016385602,106.148,15,19000000
gmm_37,7028672236,143.91,20,33000000
gmm_38,3012290057,264.484,4,11000000
gmm_39,4016385642,109.731,15,17000000
gmm_40,4016385546,107.301,19,18000000
gmm_41,4016385662,113.581,64,19000000
gmm_42,4016385634,109.851,14,16000000
gmm_43,6024576710,104.898,22,30000000
gmm_44,4016385698,135.658,9,18000000
gmm_45,5020481156,166.148,9,23000000
gmm_46,7028672320,98.369,29,31000000
gmm_47,8032767826,150.571,25,39000000
gmm_48,7028672397,119.079,29,32000000
gmm_49,5020481186,227.794,7,22000000
gmm_50,3012290093,353.926,3,11000000
gmm_51,17069628059,111.53,78,81000000
gmm_52,7028672285,120.497,21,34000000
gmm_53,5020481146,172.17,15,21000000
gmm_54,6024576650,106.511,19,27000000
gmm_55,4016385630,202.761,6,16000000
gmm_56,5020481131,98.885,19,24000000
gmm_57,4016385642,109.923,28,18000000
gmm_58,4016385622,301.086,4,17000000
gmm_59,4016385530,138.469,13,20000000
gmm_60,6024576836,183.147,18,28000000
gmm_61,15061437041,111.339,60,72000000
gmm_62,11045054601,89.344,50,54000000
gmm_63,10040959016,88.864,57,50000000
gmm_64,9036863336,114.136,66,43000000
gmm_65,13053245562,120.584,57,61000000
gmm_66,7028672348,124.927,42,32000000
gmm_67,4016385602,113.015,36,17000000
gmm_68,11045054359,121.398,36,51000000
gmm_69,6024576776,195.057,10,30000000
gmm_70,4016385666,118.377,16,16000000
gmm_71,4016385618,243.334,6,20000000
gmm_72,4016385594,103.483,24,16000000
gmm_73,8032767834,143.391,24,37000000
gmm_74,4016385618,109.469,32,19000000
gmm_75,16065532122,147.524,72,79000000
gmm_76,4016385626,130.306,60,16000000
gmm_77,9036863327,149.217,33,45000000
gmm_78,5020481071,110.253,24,23000000
gmm_79,7028672257,107.679,24,34000000
