Task_name,Input_data_size,Duration(s),maxExecutor,hibench.lr.examples
lr_1,320048760,146.918,3,800
lr_2,4000602600,573.131,17,10000
lr_3,320048760,150.789,4,800
lr_4,1360206488,216.984,16,3400
lr_5,1600241400,207.909,18,4000
lr_6,1600241400,235.124,19,4000
lr_7,4000602600,223.805,50,10000
lr_8,560086088,275.533,3,1400
lr_9,4000602600,242.598,49,10000
lr_10,920139664,175.045,11,2300
lr_11,840128832,185.622,11,2100
lr_12,880134248,163.95,10,2200
lr_13,880134248,159.925,11,2200
lr_14,1000152912,166.564,24,2500
lr_15,680104752,327.345,3,1700
lr_16,560086088,254.041,3,1400
lr_17,1000152912,185.342,10,2500
lr_18,720110168,204.518,23,1800
lr_19,640096920,137.854,10,1600
lr_20,960145080,185.9,11,2400
lr_21,800121000,155.125,11,2000
lr_22,520080672,129.675,10,1300
lr_23,760115584,166.088,11,1900
lr_24,1320201072,121.46,24,3300
lr_25,640096920,304.02,3,1600
lr_26,200032512,140.072,3,500
lr_27,840128832,173.88,10,2100
lr_28,1080163744,125.644,23,2700
lr_29,480072840,121.881,10,1200
lr_30,640096920,157.541,11,1600
lr_31,2400361800,254.439,70,6000
lr_32,800121000,145.086,23,2000
lr_33,1240187824,143.819,21,3100
lr_34,1640249232,255.338,27,4100
lr_35,760115584,178.101,8,1900
lr_36,760115584,150.413,15,1900
lr_37,1320201072,146.967,20,3300
lr_38,440067424,136.35,4,1100
lr_39,680104752,142.972,15,1700
lr_40,720110168,150.952,19,1800
lr_41,760115584,178.162,64,1900
lr_42,640096920,195.097,14,1600
lr_43,1200182408,154.757,22,3000
lr_44,720110168,149.31,9,1800
lr_45,920139664,226.501,9,2300
lr_46,1240187824,168.915,29,3100
lr_47,1560235984,177.543,25,3900
lr_48,1280193240,138.734,29,3200
lr_49,880134248,266.066,7,2200
lr_50,440067424,201.05,3,1100
lr_51,3240490032,206.508,78,8100
lr_52,1360206488,308.753,21,3400
lr_53,840128832,145.263,15,2100
lr_54,1080163744,184.349,19,2700
lr_55,640096920,238.387,6,1600
lr_56,960145080,123.878,19,2400
lr_57,720110168,178.862,28,1800
lr_58,680104752,357.172,4,1700
lr_59,800121000,164.571,13,2000
lr_60,1120169160,153.753,18,2800
lr_61,2880434040,197.043,60,7200
lr_62,2160326888,175.291,50,5400
lr_63,2000302808,198.864,57,5000
lr_64,1720260064,192.9,66,4300
lr_65,2440369632,160.077,57,6100
lr_66,1280193240,157.586,42,3200
lr_67,680104752,163.16,36,1700
lr_68,2040308224,248.281,36,5100
lr_69,1200182408,212.919,10,3000
lr_70,640096920,179.466,16,1600
lr_71,800121000,278.686,6,2000
lr_72,640096920,145.632,24,1600
lr_73,1480225152,154.774,24,3700
lr_74,760115584,204.14,32,1900
lr_75,3160476784,156.172,72,7900
lr_76,640096920,212.855,60,1600
lr_77,1800273312,265.471,33,4500
lr_78,920139664,157.261,24,2300
lr_79,1360206488,167.527,24,3400
lr_80,840128832,222.95,9,2100
lr_81,1880284144,200.412,80,4700
lr_82,2080313640,170.906,40,5200
lr_83,2520380464,174.005,48,6300
lr_84,760115584,144.244,20,1900
lr_85,1480225152,194.954,72,3700
lr_86,1600241400,183.553,48,4000
lr_87,2280345552,162.202,52,5700
lr_88,1960297392,154.273,42,4900
lr_89,1000152912,139.251,18,2500
lr_90,1080163744,149.869,16,2700
lr_91,1560235984,159.853,33,3900
lr_92,1440217320,193.077,48,3600
