Task_name,Input_data_size,Duration(s),maxExecutor,hibench.pagerank.pages
pagerank_1,205926582,133.128,3,400000
pagerank_2,2993448066,263.577,17,5000000
pagerank_3,205926582,80.556,4,400000
pagerank_4,959058976,103.277,16,1700000
pagerank_5,1142586071,109.603,18,2000000
pagerank_6,1142586071,93.134,19,2000000
pagerank_7,2993448066,155.706,50,5000000
pagerank_8,368340469,141.73,3,700000
pagerank_9,2993448066,215.547,49,5000000
pagerank_10,623044633,107.812,11,1150000
pagerank_11,561991495,117.053,11,1050000
pagerank_12,592523521,103.512,10,1100000
pagerank_13,592523521,89.843,11,1100000
pagerank_14,684042396,89.21,24,1250000
pagerank_15,449788967,210.165,3,850000
pagerank_16,368340469,196.115,3,700000
pagerank_17,684042396,113.931,10,1250000
pagerank_18,476978293,97.935,23,900000
pagerank_19,422625339,86.949,10,800000
pagerank_20,653546522,113.012,11,1200000
pagerank_21,531470496,101.866,11,1000000
pagerank_22,341199485,92.941,10,650000
pagerank_23,504218743,111.569,11,950000
pagerank_24,928486613,120.266,24,1650000
pagerank_25,422625339,222.527,3,800000
pagerank_26,125209992,113.066,3,250000
pagerank_27,561991495,112.018,10,1050000
pagerank_28,745080459,110.797,23,1350000
pagerank_29,314078848,88.841,10,600000
pagerank_30,422625339,101.552,11,800000
pagerank_31,1756435607,114.265,70,3000000
pagerank_32,531470496,104.823,23,1000000
pagerank_33,867330239,102.551,21,1550000
pagerank_34,1173197093,112.88,27,2050000
pagerank_35,504218743,94.423,8,950000
pagerank_36,504218743,117.892,15,950000
pagerank_37,928486613,118.136,20,1650000
pagerank_38,286965088,100.716,4,550000
pagerank_39,449788967,91.273,15,850000
pagerank_40,476978293,115.85,19,900000
pagerank_41,504218743,97.103,64,950000
pagerank_42,422625339,85.791,14,800000
pagerank_43,836736090,105.348,22,1500000
pagerank_44,476978293,100.993,9,900000
pagerank_45,623044633,126.704,9,1150000
pagerank_46,867330239,98.034,29,1550000
pagerank_47,1111978314,120.889,25,1950000
pagerank_48,897906006,100.829,29,1600000
pagerank_49,592523521,117.16,7,1100000
pagerank_50,286965088,119.564,3,550000
pagerank_51,2405573887,134.64,78,4050000
pagerank_52,959058976,100.209,21,1700000
pagerank_53,561991495,109.218,15,1050000
pagerank_54,745080459,145.394,19,1350000
pagerank_55,422625339,105.967,6,800000
pagerank_56,653546522,80.906,19,1200000
pagerank_57,476978293,103.152,28,900000
pagerank_58,449788967,186.167,4,850000
pagerank_59,531470496,101.273,13,1000000
pagerank_60,775643421,91.192,18,1400000
pagerank_61,2127332518,140.701,60,3600000
pagerank_62,1571474499,125.948,50,2700000
pagerank_63,1448808441,127.187,57,2500000
pagerank_64,1234457971,116.415,66,2150000
pagerank_65,1787316603,105.781,57,3050000
pagerank_66,897906006,100.601,42,1600000
pagerank_67,449788967,105.155,36,850000
pagerank_68,1479458389,121.544,36,2550000
pagerank_69,836736090,142.48,10,1500000
pagerank_70,422625339,102.079,16,800000
pagerank_71,531470496,166.09,6,1000000
pagerank_72,422625339,102.009,24,800000
pagerank_73,1050787566,108.166,24,1850000
pagerank_74,504218743,132.243,32,950000
pagerank_75,2343734984,137.905,72,3950000
pagerank_76,422625339,82.872,60,800000
pagerank_77,1295693713,113.211,33,2250000
pagerank_78,623044633,117.385,24,1150000
pagerank_79,959058976,119.699,24,1700000
pagerank_80,561991495,111.922,9,1050000
pagerank_81,1356917607,122.327,80,2350000
pagerank_82,1510132298,111.33,40,2600000
pagerank_83,1849104840,123.332,48,3150000
pagerank_84,504218743,114.416,20,950000
pagerank_85,1050787566,119.487,72,1850000
pagerank_86,1142586071,117.25,48,2000000
pagerank_87,1663779777,118.595,52,2850000
pagerank_88,1418173308,126.711,42,2450000
pagerank_89,684042396,98.831,18,1250000
pagerank_90,745080459,91.122,16,1350000
pagerank_91,1111978314,123.089,33,1950000
pagerank_92,1020218880,105.967,48,1800000
pagerank_93,714554184,97.488,52,1300000
pagerank_94,1694678479,149.13,54,2900000
pagerank_95,623044633,113.884,12,1150000
pagerank_96,1479458389,105.66,45,2550000
pagerank_97,1265071694,136.165,40,2200000
pagerank_98,806196275,121.147,42,1450000
pagerank_99,449788967,111.203,12,850000
pagerank_100,775643421,129.63,35,1400000
pagerank_101,2684009452,216.453,200,4500000
pagerank_102,2684009452,273.002,1000,4500000
pagerank_103,2374622163,653.563,5,4000000
pagerank_104,2374622163,307.587,10,4000000
pagerank_105,2374622163,241.067,15,4000000
pagerank_106,2374622163,220.115,20,4000000
pagerank_107,2374622163,174.999,25,4000000
pagerank_108,2374622163,223.912,30,4000000
pagerank_109,2374622163,176.697,35,4000000
pagerank_110,2374622163,178.305,40,4000000
pagerank_111,2374622163,151.408,45,4000000
pagerank_112,2374622163,150.792,50,4000000
pagerank_1,205926582,120.52,3,400000
pagerank_2,2993448066,367.268,17,5000000
pagerank_3,205926582,86.152,4,400000
pagerank_4,959058976,120.996,16,1700000
pagerank_5,1142586071,149.094,18,2000000
pagerank_6,1142586071,137.45,19,2000000
pagerank_7,2993448066,246.537,50,5000000
pagerank_8,368340469,201.209,3,700000
pagerank_9,2993448066,179.178,49,5000000
pagerank_10,623044633,114.249,11,1150000
pagerank_11,561991495,128.528,11,1050000
pagerank_12,592523521,106.718,10,1100000
pagerank_13,592523521,117.749,11,1100000
pagerank_14,684042396,118.494,24,1250000
pagerank_15,449788967,210.465,3,850000
pagerank_16,368340469,170.476,3,700000
pagerank_17,684042396,115.151,10,1250000
pagerank_18,476978293,137.747,23,900000
pagerank_19,422625339,119.49,10,800000
pagerank_20,653546522,123.552,11,1200000
pagerank_21,531470496,139.282,11,1000000
pagerank_22,341199485,99.873,10,650000
pagerank_23,504218743,140.928,11,950000
pagerank_24,928486613,135.578,24,1650000
pagerank_25,422625339,217.97,3,800000
pagerank_26,125209992,103.051,3,250000
pagerank_27,561991495,119.524,10,1050000
pagerank_28,745080459,125.361,23,1350000
pagerank_29,314078848,84.076,10,600000
pagerank_30,422625339,79.097,11,800000
pagerank_31,1756435607,116.631,70,3000000
pagerank_32,531470496,92.505,23,1000000
pagerank_33,867330239,108.629,21,1550000
pagerank_34,1173197093,89.567,27,2050000
pagerank_35,504218743,112.375,8,950000
pagerank_36,504218743,105.476,15,950000
pagerank_37,928486613,113.788,20,1650000
pagerank_38,286965088,97.667,4,550000
pagerank_39,449788967,111.631,15,850000
pagerank_40,476978293,104.329,19,900000
pagerank_41,504218743,112.606,64,950000
pagerank_42,422625339,86.732,14,800000
