Task_name,Input_data_size,Duration(s),maxExecutor,hibench.workload.datasize
wordcount_001,52558607209 ,258.264,3,51200000000 
wordcount_002,656982696149 ,786.266,17,640000000000 
wordcount_003,52558679496 ,239.651,4,51200000000 
wordcount_004,223374200960 ,331.213,16,217600000000 
wordcount_005,262793076155 ,353.702,18,256000000000 
wordcount_006,262793206026 ,336.138,19,256000000000 
wordcount_007,656982781475 ,361.081,50,640000000000 
wordcount_008,91977600024 ,727.27,3,89600000000 
wordcount_009,656982533145 ,326.565,49,640000000000 
wordcount_010,151105987630 ,323.726,11,147200000000 
wordcount_011,137966562941 ,332.231,11,134400000000 
wordcount_012,144536222755 ,299.929,10,140800000000 
wordcount_013,144536162099 ,316.612,11,140800000000 
wordcount_014,164245657162 ,214.015,24,160000000000 
wordcount_015,111687159092 ,724.704,3,108800000000 
wordcount_016,111686963456 ,797.48,3,108800000000 
wordcount_017,164245664115 ,360.105,10,160000000000 
wordcount_018,118256860065 ,128.13,23,115200000000 
wordcount_019,105117102396 ,198.387,10,102400000000 
wordcount_020,157675854941 ,335.259,11,153600000000 
wordcount_021,131396484187 ,314.204,11,128000000000 
wordcount_022,164245611615 ,345.622,10,160000000000 
wordcount_023,124826890711 ,338.741,11,121600000000 
wordcount_024,216804377151 ,252.978,24,211200000000 
wordcount_025,105117220089 ,861.007,3,102400000000 
wordcount_026,105117242354 ,828.301,3,102400000000 
wordcount_027,137966353926 ,373.683,10,134400000000 
wordcount_028,177385426685 ,257.874,23,172800000000 
wordcount_029,137966442804 ,371.606,10,134400000000 
wordcount_030,151106050518 ,264.855,11,147200000000 
wordcount_031,394189596803 ,129.334,70,384000000000 
wordcount_032,131396593057 ,154.216,23,128000000000 
wordcount_033,203664700640 ,303.889,21,198400000000 
wordcount_034,269362925698 ,174.506,27,262400000000 
wordcount_035,124826626354 ,366.398,8,121600000000 
wordcount_036,124826671865 ,233.361,15,121600000000 
wordcount_037,216804276486 ,305.659,20,211200000000 
wordcount_038,111687219333 ,605.935,4,108800000000 
wordcount_039,111687001989 ,220.299,15,108800000000 
wordcount_040,118256878195 ,189.111,19,115200000000 
wordcount_041,124826711176 ,69.77,64,121600000000 
wordcount_042,105117132948 ,204.469,14,102400000000 
wordcount_043,197094855958 ,200.43,22,192000000000 
wordcount_044,118256846719 ,396.719,9,115200000000 
wordcount_045,151106200298 ,363.878,9,147200000000 
wordcount_046,203664617645 ,215.778,29,198400000000 
